"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что для каждого вопроса отображается правильный ответ","289","Главная страница: раздел FAQ","tests","Tue May 27 13:43:40 MSK 2025","passed","Tue May 27 13:43:40 MSK 2025","TestMainPage","test_faq_page","",""
"Проверяем 2 позитивных сценария с двумя наборами данных пользователя. Проверяем открытие формы заказа по нажатию кнопок 'Заказать' внизу страницы и в шапке","3229","Успешное создание заказа с параметризацией","tests","Tue May 27 13:44:04 MSK 2025","passed","Tue May 27 13:44:07 MSK 2025","TestOrderPage","test_order_page","",""
"Проверяем, что для каждого вопроса отображается правильный ответ","277","Главная страница: раздел FAQ","tests","Tue May 27 13:43:14 MSK 2025","passed","Tue May 27 13:43:14 MSK 2025","TestMainPage","test_faq_page","",""
"Проверяем, что для каждого вопроса отображается правильный ответ","286","Главная страница: раздел FAQ","tests","Tue May 27 13:43:35 MSK 2025","passed","Tue May 27 13:43:35 MSK 2025","TestMainPage","test_faq_page","",""
"","3379","Проверка открытия Яндекс Дзена в новой вкладке по клику на логотип Яндекса","tests","Tue May 27 13:43:44 MSK 2025","passed","Tue May 27 13:43:47 MSK 2025","TestHeaderRedirect","test_header","",""
"Проверяем, что для каждого вопроса отображается правильный ответ","296","Главная страница: раздел FAQ","tests","Tue May 27 13:43:10 MSK 2025","passed","Tue May 27 13:43:10 MSK 2025","TestMainPage","test_faq_page","",""
"Проверяем, что для каждого вопроса отображается правильный ответ","288","Главная страница: раздел FAQ","tests","Tue May 27 13:43:22 MSK 2025","passed","Tue May 27 13:43:22 MSK 2025","TestMainPage","test_faq_page","",""
"Проверяем, что для каждого вопроса отображается правильный ответ","280","Главная страница: раздел FAQ","tests","Tue May 27 13:43:18 MSK 2025","passed","Tue May 27 13:43:18 MSK 2025","TestMainPage","test_faq_page","",""
"Проверяем, что для каждого вопроса отображается правильный ответ","253","Главная страница: раздел FAQ","tests","Tue May 27 13:43:31 MSK 2025","passed","Tue May 27 13:43:31 MSK 2025","TestMainPage","test_faq_page","",""
"Проверяем 2 позитивных сценария с двумя наборами данных пользователя. Проверяем открытие формы заказа по нажатию кнопок 'Заказать' внизу страницы и в шапке","3247","Успешное создание заказа с параметризацией","tests","Tue May 27 13:43:57 MSK 2025","passed","Tue May 27 13:44:00 MSK 2025","TestOrderPage","test_order_page","",""
"","1261","Проверка редиректа на главную страницу при нажатии на логотип Самокат","tests","Tue May 27 13:43:51 MSK 2025","passed","Tue May 27 13:43:53 MSK 2025","TestHeaderRedirect","test_header","",""
"Проверяем, что для каждого вопроса отображается правильный ответ","280","Главная страница: раздел FAQ","tests","Tue May 27 13:43:27 MSK 2025","passed","Tue May 27 13:43:27 MSK 2025","TestMainPage","test_faq_page","",""
